City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
dwarka,IN,22.24,68.97,26.28,56,0,4.71,1606848616
babylon,US,40.7,-73.33,11.11,62,75,8.7,1606848616
matara,LK,5.95,80.54,24.69,88,100,1.93,1606848616
poum,NC,-20.23,164.02,24.09,71,3,5.92,1606848616
saleaula,,,,,,,,
vizinga,RU,61.07,50.1,-5.97,93,100,4.67,1606848617
teahupoo,PF,-17.83,-149.27,24.14,87,0,7.48,1606848617
karatuzskoye,RU,53.61,92.87,-9.34,96,100,1.16,1606848617
taoudenni,ML,22.68,-3.98,25.91,17,100,6.04,1606848617
hendersonville,US,36.3,-86.62,3.89,59,90,2.6,1606848617
tumarbong,PH,10.38,119.46,25.36,86,100,3.16,1606848617
sinazongwe,ZM,-17.26,27.46,27.79,67,100,1.56,1606848617
barjora,IN,23.43,87.28,19.04,37,0,1.4,1606848618
batemans bay,AU,-35.72,150.18,17.22,96,100,2.66,1606848618
walvis bay,NA,-22.96,14.51,16.11,82,0,7.92,1606848618
la algaba,ES,37.46,-6.01,16.67,76,0,0.45,1606848618
marzuq,YE,14.4,46.47,17.16,82,0,2.15,1606848618
ozuluama,MX,21.67,-97.85,19.14,56,10,0.87,1606848618
maridi,SS,4.92,29.47,24.09,47,0,1.29,1606848618
meadow lake,US,34.8,-106.54,9.44,32,0,0.89,1606848618
hualmay,PE,-11.1,-77.61,22.21,67,72,4.01,1606848619
atar,MR,20.52,-13.05,27.13,21,100,2.45,1606848619
bridlington,GB,54.08,-0.19,5,83,29,0.45,1606848619
marv dasht,,,,,,,,
synya,RU,65.37,58.04,-5.84,95,100,7.23,1606848619
inhambane,MZ,-23.86,35.38,25.68,85,0,5.32,1606848619
cedar rapids,US,42.01,-91.64,1.67,60,0,0.45,1606848500
kattivakkam,IN,13.22,80.32,25.44,79,38,7.84,1606848620
tirukkoyilur,IN,11.95,79.2,22.28,83,100,3.76,1606848620
fauske,NO,67.26,15.39,1,80,75,3.6,1606848620
makakilo city,US,21.35,-158.09,23.33,66,12,1.79,1606848584
pokhara,NP,28.23,83.98,13.81,45,0,1.6,1606848620
xiongzhou,CN,25.12,114.3,8.57,87,34,1,1606848620
millinocket,US,45.66,-68.71,15,93,90,3.1,1606848428
kigali,RW,-1.95,30.06,16.58,86,19,1.04,1606848621
namatanai,PG,-3.67,152.43,25.79,75,100,1.91,1606848621
cap malheureux,MU,-19.98,57.61,25.56,81,0,1.79,1606848621
jurm,AF,36.86,70.83,5.99,58,75,1.71,1606848621
namioka,JP,40.71,140.59,2.78,49,98,3.58,1606848621
bur gabo,,,,,,,,
pochutla,MX,15.74,-96.47,30.08,45,83,2.49,1606848621
mergui,,,,,,,,
san quintin,MX,30.48,-115.95,21.51,28,0,2.13,1606848622
biltine,TD,14.53,20.92,22.89,19,0,2.46,1606848622
lodwar,KE,3.12,35.6,31.71,34,0,5.75,1606848329
seabra,BR,-12.42,-41.77,27.98,39,88,2.42,1606848424
butajira,ET,8.12,38.37,15.6,61,2,2.95,1606848622
vaovai,,,,,,,,
norman wells,CA,65.28,-126.83,-5.08,93,100,4.7,1606848622
luganville,VU,-15.53,167.17,24.63,81,99,4.24,1606848623
malanje,AO,-9.54,16.34,19.06,95,100,2,1606848623
chimbarongo,CL,-34.7,-71.05,32.78,26,100,5.09,1606848623
sinnar,SD,13.57,33.57,23.89,21,0,5.39,1606848623
yerofey pavlovich,RU,53.97,121.97,-19.8,87,0,1.27,1606848623
puerto narino,CO,-3.77,-70.38,26.74,92,100,0.52,1606848623
forbes,AU,-33.38,148.02,17.22,48,3,2.24,1606848624
chaozhou,CN,23.67,116.64,15.7,71,47,2.12,1606848330
middelkerke,BE,51.16,2.84,9,70,40,7.7,1606848624
bansang,GM,13.43,-14.65,31.06,20,15,1.19,1606848624
mumbwa,ZM,-14.98,27.06,21.12,81,100,1.31,1606848624
linxia,CN,35.6,103.21,-6.89,94,100,1.74,1606848624
port hardy,CA,50.7,-127.42,5.93,69,0,5.49,1606848625
darhan,MN,49.49,105.92,-13.56,89,97,1.86,1606848625
addis abeba,ET,9.03,38.75,13.39,75,26,2.41,1606848625
karla,EE,59.37,24.93,3,86,20,4.6,1606848625
constitucion,CL,-35.33,-72.42,17.85,56,100,9.08,1606848383
oktyabrskoye,RU,43.06,44.74,1.73,86,100,0.57,1606848625
atherton,GB,53.52,-2.49,6.11,80,100,0.33,1606848625
praia da vitoria,PT,38.73,-27.07,16.11,81,94,5.36,1606848626
tefe,BR,-3.35,-64.71,33.78,47,61,1.12,1606848626
viedma,AR,-40.81,-63,34.44,10,6,3.58,1606848440
najran,SA,17.49,44.13,16.53,47,0,1.14,1606848626
pedernales,DO,18.04,-71.74,27.65,63,95,1.82,1606848626
coahuayana,MX,18.73,-103.68,30.78,52,21,2.54,1606848626
briancon,FR,44.9,6.65,2.22,82,68,3.28,1606848626
uige,AO,-7.61,15.06,19.86,93,99,0.22,1606848627
marsa matruh,EG,31.35,27.25,17.02,73,0,1.08,1606848627
dzhusaly,,,,,,,,
zhuhai,CN,22.28,113.57,18.33,79,0,6.01,1606848627
ossora,RU,59.24,163.07,-12.4,85,100,2.74,1606848627
tadine,NC,-21.55,167.88,22.97,68,41,4.89,1606848627
tigre,AR,-34.43,-58.58,29.44,46,0,1.79,1606848627
shuya,RU,56.85,41.39,-3.99,95,100,2.23,1606848627
ko samui,TH,9.54,99.94,27.45,80,100,8.47,1606848333
kingsville,US,27.52,-97.86,20.56,45,1,4.1,1606848628
niksic,ME,42.77,18.94,2.8,74,100,1.66,1606848628
clarence town,AU,-32.58,151.78,22.78,99,17,3.47,1606848628
rubtsovsk,RU,51.5,81.25,-17.02,94,54,1.79,1606848628
scottsburgh,,,,,,,,
xining,CN,36.62,101.77,-8.26,91,89,0.81,1606848360
cumaribo,,,,,,,,
tazovskiy,RU,67.47,78.7,-9.27,97,100,6.44,1606848629
yenagoa,NG,4.92,6.26,26.01,85,18,3.02,1606848629
nantucket,US,41.28,-70.1,13.33,87,100,5.36,1606848629
baykit,RU,61.67,96.37,-20.89,87,66,1.18,1606848629
emirdag,TR,39.02,31.15,2.73,81,23,0.42,1606848629
donskoye,RU,45.46,41.97,3.98,82,66,7.14,1606848629
mongo,TD,12.18,18.69,25.13,17,4,2.4,1606848630
talnakh,RU,69.49,88.4,-10.54,95,100,5.19,1606848414
aroeiras,BR,-7.55,-35.71,28.21,55,100,5.99,1606848630
mao,ES,39.89,4.27,15.59,59,100,5.01,1606848630
bafoulabe,ML,13.81,-10.83,31.89,18,18,1.36,1606848630
dakar,SN,14.69,-17.44,24.96,81,33,9.78,1606848415
narasannapeta,IN,18.42,84.05,20.74,67,12,2.85,1606848630
tanete,ID,-3.94,119.78,24.45,87,39,1,1606848631
ternate,ID,0.8,127.4,27.4,73,23,0.41,1606848631
biak,ID,-0.91,122.88,25.62,79,100,0.35,1606848631
erkrath,DE,51.22,6.9,8.33,93,75,3.6,1606848631
kapit,MY,2.02,112.93,23.65,94,95,0.41,1606848631
waw,SS,7.7,28,27.11,23,98,1.61,1606848631
mbeya,TZ,-8.9,33.45,17.77,82,100,1.17,1606848631
dubbo,AU,-32.25,148.62,20.32,62,17,3.95,1606848366
las piedras,UY,-34.73,-56.22,27.22,28,0,1.79,1606848632
pocinhos,BR,-7.08,-36.06,27.26,54,100,6.79,1606848632
shirgaon,IN,19.7,72.7,26.08,71,0,3.6,1606848632
tsihombe,,,,,,,,
rayon,MX,19.14,-99.58,20,40,40,2.1,1606848632
xunchang,CN,28.45,104.72,10.25,73,100,0.83,1606848632
kasulu,TZ,-4.58,30.1,18.61,86,69,0.84,1606848633
liminangcong,,,,,,,,
buala,SB,-8.14,159.59,27.33,80,98,3.95,1606848633
lubawa,PL,53.5,19.75,-1.11,85,37,2.24,1606848633
balikpapan,ID,-1.27,116.83,24.68,92,100,1.03,1606848633
teguldet,RU,57.31,88.17,-15.63,94,100,2.78,1606848633
kasongo,CD,-4.45,26.67,21.44,95,100,0.52,1606848633
solnechnyy,RU,50.72,136.63,-15.98,82,100,0.99,1606848634
ihosy,MG,-22.4,46.12,25.61,51,57,3.43,1606848634
espanola,US,35.99,-106.08,5,50,1,2.1,1606848497
ankazoabo,MG,-22.28,44.52,24.5,59,0,1.94,1606848634
kamenka,RU,51.32,42.77,-7.78,87,0,5.5,1606848634
buckeye,US,33.37,-112.58,20.56,35,1,0.44,1606848634
gandu,BR,-13.74,-39.49,28.19,60,92,2.53,1606848634
kaeo,NZ,-35.1,173.78,15.56,87,12,1.34,1606848634
arlit,NE,18.74,7.39,28.56,15,20,2.65,1606848635
bershet,RU,57.73,56.38,-10.93,95,0,1.33,1606848635
miyazu,JP,35.53,135.18,6.69,91,21,0.95,1606848635
anadyr,RU,64.75,177.48,-26.47,87,55,4.05,1606848635
rehoboth,NA,-23.32,17.08,22.82,21,0,4.85,1606848635
vestmannaeyjar,IS,63.44,-20.27,4.09,73,99,17.31,1606848635
rokiskis,LT,55.97,25.58,-2.75,98,100,2.52,1606848635
goderich,CA,43.75,-81.72,1.11,88,100,12.72,1606848636
chase,CA,50.82,-119.69,1.67,98,0,0.82,1606848636
izhma,RU,65.01,53.91,-4.33,94,100,5.94,1606848636
ibra,OM,22.69,58.53,17.79,89,0,0.31,1606848636
ipixuna,BR,-1.76,-48.8,28.97,75,42,2.62,1606848636
alice springs,AU,-23.7,133.88,23.33,35,11,4.02,1606848455
kyenjojo,UG,0.63,30.62,17.21,92,1,0.82,1606848636
kiama,AU,-34.68,150.87,19.44,85,91,4.61,1606848637
bemidji,US,47.47,-94.88,2.22,71,1,4.1,1606848637
tukrah,LY,32.53,20.58,17.18,73,37,4.19,1606848637
aklavik,CA,68.22,-135.01,-16.86,92,100,0.81,1606848637
gotsu,JP,35,132.22,7.48,72,0,2.07,1606848637
hamilton,US,39.18,-84.53,0,83,98,1.34,1606848589
qaqortoq,GL,60.72,-46.03,-4.23,82,0,12.3,1606848637
hurricane,US,37.18,-113.29,10.56,32,1,5.29,1606848457
ayoquezco,,,,,,,,
dzerzhinskoye,RU,56.83,95.23,-13.93,93,100,2.09,1606848638
lata,PT,40.16,-8.33,15,83,100,1.57,1606848638
gusinoye ozero,RU,51.11,106.26,-11.06,90,100,2.22,1606848638
coracao de jesus,BR,-16.69,-44.37,28.18,48,32,2.02,1606848638
griffith,US,41.53,-87.42,-0.56,69,28,4.08,1606848375
ketchikan,US,55.34,-131.65,6.58,86,100,10.45,1606848639
vila,PT,42.03,-8.16,10.56,65,100,0.45,1606848639
havre-saint-pierre,CA,50.23,-63.6,7,93,90,3.6,1606848639
maryville,US,35.76,-83.97,1.11,75,97,3.99,1606848639
waipawa,NZ,-41.41,175.52,9.44,87,95,4.18,1606848639
magistralnyy,RU,56.17,107.45,-12.55,94,100,1.74,1606848639
elizabeth city,US,36.29,-76.25,10,54,0,7.15,1606848632
tres arroyos,AR,-38.37,-60.28,31.01,17,0,5.61,1606848640
uromi,NG,6.7,6.33,24.76,70,49,2.15,1606848640
taungdwingyi,MM,20.02,95.55,20.38,81,0,1.06,1606848640
bandar-e lengeh,IR,26.56,54.88,22.31,64,0,1.41,1606848640
pouebo,NC,-20.4,164.57,22.57,75,7,4.87,1606848640
nalut,LY,30.33,10.85,13.99,50,0,0.94,1606848640
peleduy,RU,59.63,112.74,-11.99,93,100,5.98,1606848640
molo,KE,-0.25,35.74,10.91,76,5,1.57,1606848640
wajima,JP,37.4,136.9,7.88,79,100,8.38,1606848641
laiyang,CN,36.98,120.71,2.78,89,100,1.14,1606848641
caibarien,CU,22.52,-79.47,21.62,86,100,10.87,1606848641
mount gambier,AU,-37.83,140.77,10.19,63,71,2.66,1606848641
mattru,SL,7.62,-11.83,25.28,91,29,1.65,1606848641
port hawkesbury,CA,45.62,-61.35,12.78,86,100,4.47,1606848641
beloha,MG,-25.17,45.05,21.03,94,27,1.32,1606848642
santa maria,BR,-29.68,-53.81,28.93,51,9,3.31,1606848642
cabo rojo,PR,18.09,-67.15,29.44,68,100,2.24,1606848642
maragogi,BR,-9.01,-35.22,26.99,72,100,4.58,1606848642
dvinskoy,RU,62.15,45.12,-3.43,96,96,3.24,1606848642
sabzevar,IR,36.21,57.68,11.85,51,59,0.7,1606848642
zihuatanejo,MX,17.63,-101.55,29.16,62,49,2.71,1606848642
thohoyandou,ZA,-22.95,30.48,25.68,52,28,2.23,1606848643
fort nelson,CA,58.81,-122.7,-1.14,84,100,2.59,1606848643
